term	content
지니계수	지니계수란 이탈리아의 통계학자 지니(Gini)가 소득분배상태를 파악하기 위하여 로렌츠곡선의 단점을 보완, 로렌츠곡선이 나타내는 내용을 하나의 단순한 숫자로 표시한 것이 다.
지로(GIRO)	지로는 대량수납 및 대량지급거래 등 다수인과의 자금이체를 중계센터를 통해 처리하는 소액대량 지급수단이다.
지방은행공동망	지방은행공동망은 지방은행의 공동상품인 뱅크라인(Bankline) 업무를 처리하는 공동망으로서 1997년 6월 가동되었다.
지수기준년	지수기준년(reference year)은 물량지수=100 또는 명목금액과 실질금액이 동일한 연도를 의미한다. 반면 기준년은 물량지수 계산 시 가격 또는 금액가중치를 제공하는 연도를 말한다. 따라서 고정가중법에서는 기준년과 지수기준년이 동일하나 연쇄가중법에서는 기준년은 직전년도이다.
지역금융협정	인접국가나 특정 경제권역내 국가 간에 체결하는 금융협력협정을 말한다.
지적소유권	지적소유권(intellectual property)은 지적재산권이라고도 하는데 컴퓨터 프로그램, 문학작품, 음반, 옷의 디자인, 유전공학 기술 등과 같이 상업, 과학, 문학 및 예술 등의 분야에서 사람의 지식 활동을 통해 발생하는 모든 권리이다.
지정시점처리제도	실시간 총액결제시스템에서 금융기관의 자금이체는 신청 즉시 처리되는 것이 원칙이나 어음교환, 타행환 등의 차액결제와 같이 거래 성격상 다수 금융기관 간에 일괄결제가 필요한 거래는 영업시간중 특정시점에 처리하고 있는데 이를 지정시점처리제도라 한다.
지주회사	지주회사는 다른 회사의 주식을 소유하여 그 회사의 사업내용을 지배하는 것을 주된 사업으로 하는 회사이다.
직불카드	직불카드(debit card)는 카드소지인(고객)이 물품이나 서비스를 구매하는 경우 동 카드를 이용하여 판매점에 설치되어 있는 단말기와 카드 발급은행의 주전산기를 통하여 고객의 예금계좌에서 구매대금을 인출하고 이를 판매자의 예금계좌로 자동이체해 주는 용도로 사용되는 카드이다.
직불카드공동망	직불카드공동망은 직불카드 소지자가 판매점에서 동 카드를 사용하여 상품 서비스를 구입하면 판매대금이 카드소지자 은행 계좌에서 인출되어 다음 영업일 판매자 은행 계좌로 입금되는 결제시스템으로 1996년 2월 가동되었다.
직접투자	직접투자는 한 나라의 기업이 국외 현지법인의 경영에 직접 참여하여 영업이익을 획득할 목적으로 자사 보유 자본, 기술 및 인력 등의 생산요소를 국외로 이전하는 거래행위를 말한다.
진성어음/융통어음	진성어음(commercial bill)이란 기업 간 상거래에 있어 대금결제를 위해 발행되는 어음으로 상업어음, 물품대금어음(물대어음)이라고도 한다.
집단대출	주택담보대출 중 신규분양, 재건축 재개발아파트 입주(예정)자 등 일정 자격요건을 갖춘 차주 집단을 대상으로 개별심사 없이 일괄승인방식으로 실행되는 여신을 말한다.
집중도 지수(HHI)	특정 산업에 속한 시장참여자들의 매출액이나 자산규모 등을 기준으로 시장점유율을 백분율(%)로 산출한 후 이들 모두를 각각 제곱한 값을 합산한 수치로, 이 수치가 높을수록 해당 산업이 소수의 참여자들에 의한 지배력이 커짐을 나타낸다.
차액결제선물환(NDF) 거래	만기 시 당초 약정한 환율에 의해 특정 통화를 거래당사자 간에 인도 또는 인수하는 일반적인 선물환거래와 달리 만기에 계약원금의 교환 없이 약정환율과 만기 시 현물환율인 지정환율(fixing rate) 간의 차액만을 지정통화로 결제하는 거래를 말한다.
차액결제시스템	결제시스템에 참가하는 금융기관 간 자금결제에서 일정 기간(보통 1일) 동안 발생한 거래의 상호 지급액과 수취액을 모두 상계처리한 다음 그 차액만을 결제하는 시스템으로 양자 간 차액결제시스템과 어음교환, CD, 타행환시스템 등과 같이 다수의 금융기관 간에 이루어지는 다자 간 차액결제시스템으로 구분된다.
차입매수(LBO)	차입매수(LBO; Leveraged Buy out)란 기업을 매수하려는 주체가 인수에 필요한 자금이 충분하지 않은 경우 금융기관 등으로부터 인수대상 기업의 자산을 담보로 인수자금을 차입하여 기업을 매수하는 방식을 말한다.
채권시가평가	채권시가평가(mark to market)란 금융기관들이 보유하고 있는 채권에 대한 가치를 적절한 가격(시장에서 거래가 활발한 채권은 시장가격으로, 거래부진으로 시장가격을 발견하기 곤란한 경우에는 보유채권을 시장에 매각할 경우 받을 수 있을 것으로 합리적으 채권시장 로 추정되는 공정가격)으로 평가하는 것을 의미하며 2000년 7월부터 전면 시행되었다.
채권시장	채권은 정부, 공공기관, 민간기업 등이 비교적 장기로 불특정 다수로부터 거액의 자금을 조달하기 위하여 정해진 이자와 원금의 지급을 약속하면서 발행하는 증권을 말한다.
채권시장안정펀드	채권시장안정펀드란 2008년 9월 미국발 금융위기로 국내 금융시장이 극도로 경색되어 있을 때 국내 금융기관이나 기업이 채권이나 기업어음 발행을 통해 원활하게 자금을 조달할 수 있도록 2008년 11월에 만들어진 펀드이다.
채무상환유예(moratorium)	라틴어로 ‘지체하다’란 뜻의 ‘morari’에서 파생된 말로, 한 국가가 경제 정치적인 이유로 외국에서 빌려 온 차관에 대해 일시적으로 상환을 연기하는 ‘지불유예(支拂猶豫) ’를 말한다.
청년실업률	청년실업률이란 15세에서 29세에 해당하는 청년층의 경제활동인구 중 실업자의 비율을 말한다.
청산	자금결제에 있어 청산(clearing)은 경제주체 간 지급행위가 수표, 계좌이체 등 비현금수 단을 이용하여 이루어진 경우 지급인과 수취인의 거래은행들이 주고 받을 금액을 정산하고 최종 확정하는 과정을 말한다.
총고정자본형성	기업에서는 지속적인 생산능력을 유지하고 경쟁력을 확보하기 위해 노후설비를 새로운 설비로 대체하거나 신규 사업 진출을 위해 공장도 짓고 기계도 구매하는데 이러한 경제활동은 해당연도의 이익만을 위한 것이 아니고 미래의 지속적인 수입의 보장 등 장기적인 안목에서 이루어진다.
총부채상환비율(DTI)	주택담보대출 차주의 원리금상환능력을 감안하여 주택담보대출 한도를 설정하기 위해 도입된 규제 비율이다.
총부채원리금상환비율(DSR)	차주의 상환능력 대비 원리금상환부담을 나타내는 지표로서, 차주가 보유한 모든 대출의 연간 원리금상환액을 연간소득으로 나누어 산출된다.
총산출	총산출(gross output)이란 개념적으로 생산된 재화와 용역의 화폐평가액을 총합한 것으로 재고품과 자가소비를 포함한다.
총수입스왑(Total Return Swap)	총수익스왑(TRS; Total Return Swap)은 기초자산 보유에 따라 발생하는 이자, 자본수익 등 총수익을 대가로 약정이자(통상 LIBOR+spread)를 수취하는 거래를 말한다.
총액결제시스템	결제시스템에 참가하는 금융기관들의 지급액과 수취액을 상계시키지 않고 지급지시 건별로 그 지급지시의 금액(총액)을 결제하는 총액결제방식을 채택한 지급결제시스템을 말한다.
최저임금제	국가가 노사 간의 임금결정 과정에 개입하여 임금의 최저수준을 정하고 그 이상 임금을 지급하도록 강제함으로써 근로자를 보호하는 제도이다.
최종대부자 기능	최종대부자(lender of last resort) 기능은 금융시장 불안 등으로 일시적인 지급불능 상태에 빠진 금융기관에 대하여 중앙은행이 발권력을 동원하여 부족자금을 신속하게 대출해주는 기능을 말한다.
최종수요/중간수요	어떤 재화나 서비스를 구매하고자 하는 능력과 욕구를 수요라 하는데 이는 용도에 따라 중간수요와 최종수요로 나눌 수 있다.
추가경정예산	추가경정예산이란 행정부가 예산을 성립한 후에 발생한 사회 경제적인 변동으로 인해 기존의 예산을 추가 삭감하여 바꾼 예산을 가리킨다.
추심	일반적으로 어음 수표소지인이 거래은행에 어음 수표대금 회수를 위임하고 동 위임을 받은 거래은행은 어음 수표 발행점포 앞으로 동 대금의 지급을 요청하는 일련의 절차를 말한다.
추정손실	추정손실은 차주 채무상환능력의 심각한 악화로 회수불능이 확실하여 손실처리가 불가피한 여신 및 12개월 이상 연체대출채권 보유 차주의 여신 등의 회수예상가액 초과부분을 말한다. 출자총액제한제도
출구전략	출구전략(exit strategy)이란 경제 위기 발생시 경기를 부양하기 위해 취하였던 각종 완화정책을 정상화하는 것을 말한다.
출금이체	출금이체(debit transfer)는 수취인이 자신이 거래하는 금융기관에 추심을 의뢰하여 (즉, 인출지시) 지급인의 계좌로부터 이체금액을 출금하여 수취인 자신의 계좌에 입금하도록 하는 계좌이체방식을 말한다.
출자총액제한제도	출자총액제한제도는 1987년 업종 다각화에 따른 대기업의 무분별한 사업 확장을 막기 위해 독점규제 및 공정거래에 관한 법률(공정거래법)에 의거해 도입되었다.
치앙마이 이니셔티브(CMI)	1999년 3월 ASEAN+3 정상회의에서 협력과제의 하나로 통화 금융협력을 제시하고 역내 금융지원체제를 구축하기로 합의함에 따라 2000년 5월 태국 치앙마이에서 개최된 ASEAN+3 재무장관 회의에서 마련한 방안을 말한다.
치킨게임	치킨게임(chicken game)은 다양한 분야에서 이해 당사자가 모두 최악의 상황에 직면할 가능성을 초래하는 극단적인 경쟁을 가리키는 용어로 쓰이고 있다.
카르텔	카르텔(cartel)이란 동종 혹은 유사 산업에서 경쟁하는 기업들이 상호 간의 경쟁을 제한하고 완화함으로써 시장을 지배할 목적으로 결성한 기업연합체를 말한다.
캐리트레이드	상대적으로 금리가 낮은 국가의 통화로 자금을 빌려(carry) 금리가 높은 국가의 주식 채권 등의 자산에 투자(trade)하는 행위를 의미한다.
커버드본드(이중상환청구권부 채권)	커버드본드(covered bond)란 금융기관이 부동산 담보대출 등 자신이 보유한 고정자산을 담보로 발행한 채권을 말하며 2014년 4월 도입되었다.
컨트리리스크	해외 투자자가 평가하는 특정 국가의 대외신인도를 일컫는 말로 투자상대국 정부의 예상치 못한 제도 변경이나 정책 변화로 투자자가 손실 또는 불이익을 입게 될 가능성을 의미한다.
코리보	코리보(KORIBOR)는 국내 은행들이 서로 자금거래를 할 때 기준이 되는 금리를 말한다.
콜시장	콜(call)시장은 금융기관들이 일시적인 자금 과부족을 조절하기 위하여 상호 간에 초단기로 자금을 차입하거나 대여하는 시장이다.
콜옵션	콜옵션(call option)이란 거래당사자들이 미리 정한 가격(행사가격, strike price) 으로 장래의 특정 시점 또는 그 이전에 일정자산(기초자산)을 살 수 있는 권리를 매매하는 계약이다.
크라우드펀딩	크라우드펀딩(crowd funding)은 온라인 플랫폼(중개업자)을 통해 다수의 개인들로부 터 자금을 조달하는 금융서비스이다.
타행환공동망	타행환공동망은 금융공동망 중계센터인 금융결제원과 금융기관들의 전산시스템을 상호 연결하여 송금인과 수취인의 거래은행이 다르더라도 전국 어느 금융기관의 점포에서나 송금업무를 처리할 수 있게 한 시스템으로 1989년 12월 가동되었다.
탄소배출권	탄소배출권(CERs; Certified Emission Reductions)은 온실가스를 일정기간 동안 배출할 수 있는 권리를 말한다.
테이퍼링(tapering)	미국은 2008년 9월 리먼브라더스 파산에 따른 금융위기 이후 큰 경기 후퇴를 겪게 되는데 이를 대공황에 빗대어 대침체(great recession)라고 한다.
테일러 준칙(Taylor's rule)	테일러 준칙(Taylor's rule)이란 1993년 미국 경제학자인 존 테일러(John Taylor) 가 제안한 금리준칙으로 중앙은행이 거시경제 안정을 달성하기 위해 물가변동뿐만 아니라 산출변동에도 금리가 조정되도록 한 금리준칙을 말한다.
텔레뱅킹(폰뱅킹)	텔레뱅킹(폰뱅킹)은 고객이 은행창구에 나가지 않고 가정이나 사무실 등에서 전자식 전화기를 통하여 자동응답 서비스를 이용하거나 은행직원과 통화함으로써 자금이체, 조회, 분실신고 및 FAX 통지 등을 할 수 있는 서비스이다.
토빈세(Tobin tax)	미국 예일대학교의 제임스 토빈(James Tobin) 교수가 1978년에 주장한 것으로 국제 투기자본(핫머니)의 급격한 자금유출입으로 각국의 통화가치가 급등락하여 통화위기가 촉발되는 것을 막기 위한 국경간 자본이동 규제방안의 하나이다.
통상임금	통상임금은 근로자의 특정한 임금을 보호하기 위해 근로기준법시행령에 정한 기준 임금을 말한다.
통합발행제도	통합발행제도(fungible issue 또는 reopening issue)란 일정 기간(3개월, 6개월, 1 년 등) 동안 계속해서 발행하는 채권의 표면금리와 만기 등 발행조건을 일치시켜 그 기간 동안 발행한 채권을 동일한 채권으로 만드는 제도이다.
통화스왑	통화스왑이란 외환스왑과 마찬가지로 거래당사자간에 서로 다른 통화를 교환하고 일정 기간 후 원금을 재 교환하기로 약정하는 거래를 말한다.
통화승수	중앙은행이 공급한 본원통화는 예금은행의 신용창출과정을 통해 이의 수 배에 달하는 통화를 시중에 유통하게 한다.
통화안정계정	통화안정계정은 금융시장 유동성 조절을 위한 일종의 기한부 예금(term deposit)이다.
통화안정증권	통화안정증권은 한국은행법 제69조 및 한국은행 통화안정증권법에 따라 한국은 행이 유동성 조절을 목적으로 발행하는 채무증서이다.
통화옵션	통화옵션이란 미래의 특정시점(만기일 또는 만기이전)에 특정통화(기초자산)를 미리 약정한 가격(행사가격)으로 사거나(call option) 팔 수 있는 권리(put option)를 말한다.
통화유통속도	통화유통속도(velocity of circulation of money)는 기본적으로 통화 한 단위가 일정 기간 동안 각종 거래를 매개하기 위해 몇 번 유통되었는지를 나타내는 지표를 말한다.
통화전쟁	환율은 수출입 규모의 변동을 초래해 경상수지는 물론 경제성장 등에 큰 영향을 미치게 되는데, 각국이 수출의 가격 경쟁력 제고를 위해 경쟁적으로 환율상승(각국 통화의 절하)을 도모하는 경우를 통화전쟁(currency war) 또는 환율전쟁이라고 한다.
통화정책	통화정책이란 독점적 발권력을 지닌 중앙은행이 통화량이나 금리에 영향을 미쳐 물가안정, 금융안정 등을 달성함으로써 경제가 지속가능한 성장을 이룰 수 있도록 하는 정책을 말한다.
통화정책 운영체제(monetary policy regime)	중앙은행은 역사적으로 경제구조의 변화, 금융시장의 발달 정도 등에 따라 다른 형태의 통화정책 운영체제를 도입해 왔다.
통화정책 커뮤니케이션	통화정책 커뮤니케이션이란 중앙은행이 통화정책 수행과정에서 가계, 기업, 정부 등 경제주체 및 시장과 행하는 일련의 소통행위를 말한다.
통화정책 파급경로	통화정책이 실물경제에 파급되는 경로에는 금리경로, 자산가격경로, 환율경로, 기대경 로, 신용경로, 위험선호경로 등이 있다.
통화정책수단	중앙은행이 활용하고 있는 통화정책 수단으로는 지급준비제도, 공개시장운영, 중앙은 행 여수신제도 등이 있다.
통화정책체계(monetary policy framework)	중앙은행은 통화정책을 수행함에 있어 정책수단과 최종목표(물가안정, 금융안정 등) 를 이어줄 수 있는 다양한 지표를 활용하는 것이 일반적이다.
통화지표	한 나라의 경제가 건강하게 유지되려면 경제규모에 맞는 적정량의 통화가 필요하다.
투입계수	각 산업부문이 재화나 서비스의 생산에 사용하기 위하여 다른 산업으로부터 구매한 원재료, 연료 등 중간재별 투입액을 총투입액으로 나눈 것으로서 각 부문 생산물 1단위 생산에 필요한 중간재들의 단위를 나타낸다.
투자율	투자율이란 일정 기간 동안 국민경제가 생산한 생산물 또는 수취한 소득에 대한 투자의 비율을 의미하는 것으로 투자액을 국민총처분가능소득으로 나누어 구한다.
투자은행	투자은행(investment bank)이란 상업은행(commercial bank)에 대비되는 개념으로 상업은행이 예금을 바탕으로 기업에 자금을 공급하는 전통적 은행업에 주력했다면 투자은행은 유가증권 인수를 통한 자금 공급을 주업으로 한다.
트리핀 딜레마(Triffin's dilemma)	로버트 트리핀(Robert Triffin : 1993년 81세를 일기로 사망) 예일대 교수는 미국의 무역수지 적자가 심각해진 1960년, 기축통화의 구조적 모순을 트리핀 딜레마라는 용어로 설명했다.
특별인출권(SDR)	1968년 4월 국제통화기금(IMF) 이사회의 결의에 따라 국제유동성 부족에 대처하기 위하여 1970년 도입된 일종의 국제준비통화이다.
특수목적기구(SPV)	자산유동화증권(ABS; Asset-Backed Securities) 발행에는 자산보유자, 특수목적기구(SPV), 자산관리자 및 신용평가기관 등이 참가하게 된다.
파레토최적	자원배분이 가장 효율적으로 이루어진 상태여서 더 이상의 개선 여지가 없는 상황을 의미한다.
파생금융상품	파생금융상품(financial derivatives)은 그 가치가 통화, 채권, 주식 등과 같은 기초금융 자산(underlying asset)의 가치변동에 의해 결정되는 금융상품을 말한다.
펀드	펀드(fund)란 다수의 투자자들로부터 자금을 모아 전문적인 운용기관인 자산운용사가 주식, 채권, 부동산 등 자산에 투자하여 운용한 후 그 실적에 따라 투자자에게 되돌려주는 금융상품이다.
페더럴펀드	페더럴펀드(federal funds)는 미 연방준비은행에 지급준비금 예치의무가 있는 예금은행이 지급준비금 과부족을 조절하기 위해 여타 예금은행, 정부보증기관(government-sponsored enterprises) 등으로부터 무담보로 차입한 자금을 말한다.
평가절상	환율은 일반적으로 거래 대상물인 외국환(외국통화) 한 단위와 교환되는 자국통화의 양으로 정의되고 있는데 원화절상은 외환시장에서 외환의 공급이 수요를 초과하여 외환의 가치가 하락하고 원화의 가치는 상승하는 현상을 의미하며, 이때 환율이 하락하게 되는데 이를 평가절상이라고도 말한다.
평가절하	환율은 일반적으로 거래 대상물인 외국환(외국통화) 한 단위와 교환되는 자국통화의 양으로 정의되고 있는데, 원화절하는 외환시장에서 외환의 수요가 공급을 초과하여 외환의 가치가 상승하고 원화의 가치는 하락하는 현상을 의미하며, 이때 환율이 상승하게 되는데 이를 환율상승 또는 평가절하라고도 말한다.
표면금리	표면금리(coupon rate)란 채권의 액면가에 대한 연간 이자지급 비율을 채권표면에 표시한 것으로서 계약기간 동안 지급을 약속한 고정금리이다.
풋옵션	풋옵션(put option)이란 거래당사자들이 미리 정한 가격(행사가격, strike price) 으로 만기일 또는 그 이전에 일정자산(기초자산)을 팔 수 있는 권리를 매매하는 계약이다.
프로그램매매	프로그램매매(program trading)란 주식시장에서 시장분석, 투자시점 판단, 매매 지시 등의 과정을 컴퓨터 프로그램을 통해 일괄 처리하여 다수의 종목을 동시에 거래하는 기법을 말한다.
프로젝트 파이낸싱	프로젝트 파이낸싱(PF; Project Financing)이란 석유개발, 탄광채굴, 조선소, 발전소, 고속도로 건설 등 대규모 사업을 추진하는 경우 그 프로젝트에 필요한 대규모의 소요자금과 각종 금융수요를 충족하기 위해서 동원되는 다수의 금융수단이나 투자금융기법을 통칭하는 말이다.
피셔효과	1920년대 미국의 경제학자 어빙 피셔(Irving Fisher)가 발표한 이론으로, 피셔방정식(fisher equation)은 명목금리가 실질금리와 기대인플레이션의 합계와 같다고 표현한다.
피용자보수	한 나라 국민이 생산활동에 참여한 결과 발생한 소득은 노동, 자본, 경영 등의 생산요소를 제공한 경제주체에 나누어진다. 이 중에서 노동을 제공한 대가로 가계에 분배되는 것을 급여 즉 피용자보수(compensation of employees)라고 하고, 생산활동을 주관한 생산주체의 몫을 영업 잉여라고 한다.
핀테크	핀테크(FinTech)는 ‘금융’(finance)과 ‘기술’(technology)의 합성어로 기존 디지털 기술 혁신을 통해 금융서비스를 획기적으로 효율화하거나 새 금융서비스를 출시하는 것을 뜻한다.
필립스곡선	임금상승률과 실업률 사이의 반비례 관계를 나타내는 곡선을 필립스 곡선이라 한다.
한계비용	한계비용은 재화나 서비스를 한 단위 더 생산하는데 들어가는 비용의 증가분을 의미한 다.
한계소비성향	개인의 소득은 소비와 저축으로 나누어지는데, 소득 중에서 소비로 쓰이는 비율을 소비성향, 저축에 들어가는 비율을 저축성향이라고 한다.
한계효용	어떤 상품이나 서비스의 소비를 한 단위 늘림에 따라 추가로 증가한 효용을 한계효용이라 한다. 한계효용은 총효용의 변화분을 소비량의 변화분으로 나눔으로써 계산할 수 있다. 일반적으로 소비량이 증가함에 따라 전체 효용은 증가하지만, 한계효용은 그 크기가 점차 줄어든다(한계효용체감의 법칙).
한국은행	우리나라의 중앙은행인 한국은행은 1950년 6월 12일 한국은행법에 의하여 설립되었다.
한시적 근로자	근로기간이 정해져 있지 않는 상시 근로자와 달리 근로 기간이 정해져 있는 계약직, 일용직 등을 비정규직 근로자라 한다.
한은금융망(BOK-Wire+)	한국은행이 금융기관 간 자금결제를 위하여 1994년 12월부터 가동 운영하고 있는 거액결제시스템으로 금융기관의 콜거래, 외환 및 증권매매 등에 따른 원화자금 결제는 대부분 한은금융망을 이용하여 한국은행에 개설된 당좌예금을 계좌이체하는 방식으로 처리한다.
할당관세제도	특정물품의 수입이 정부가 정한 일정수량에 이를 때까지는 저율의 관세가 부과되나 일정량을 초과하면 그 이후에는 고율의 관세가 부과되는 제도를 할당관세제도라고 하며 이때 부과되는 고율 또는 저율의 관세를 할당관세라 한다.
합계출산율	한 여성이 가임기간인 15세에서 49세 사이에 낳을 것으로 기대되는 평균 출생아 수를 측정하는 통계를 말하는데, 실제로는 5세 기준으로 구분한 연령별로 출산율을 계산한 후 이를 합한 개념이기 때문에 합계출산율(total fertility rate)이라고 부른다.
헤지펀드	개인을 대상으로 모집한 자금을 고수익 또는 위험회피 등을 목적으로 국제증권시장이나 국제외환시장에 투자하는 사적투자조합 또는 투자계약을 말한다.
현금자동인출기(CD)공동망	현금자동인출기(CD)공동망은 금융공동망 중계센터인 금융결제원과 금융기관들의 전산시스템을 상호 연결하여 특정 금융기관 고객이 다른 금융기관의 CD 또는 ATM을 이용하여 현금인출, 계좌이체, 잔액조회 등의 서비스를 받을 수 있도록 구축된 시스템으로 1988년 7월 가동되었다.
현시비교우위지수(RCA)	현시비교우위지수(RCA; Revealed Comparative Advantage)란 특정 상품의 수출이 세계 수출에서 차지하는 비중으로 특정 국가에서 동 상품이 전체 수출에서 차지하는 비중을 나눈 값으로 정의된다.
현지금융	현지금융이란 거주자(개인은 제외), 거주자의 국외지점 및 현지법인이 외국에서 사용하기 위하여 외국에서 외화자금을 차입(증권발행에 의한 경우 포함)하거나 지급보증을 받는 것을 말한다.
현지법인	현지법인이라 함은 거주자가 외국환거래규정에 의하여 신고 등을 하고 국외에서 해당국의 법에 따라 설립한 법인을 말한다.
혼합형결제시스템	혼합형결제시스템(hybrid settlement system)은 지급지시가 영업시간중에 실시간으로 결제되어 신용리스크가 제거되는 실시간총액결제방식의 장점과 결제유동성을 절약할 수 있는 차액결제방식의 장점이 결합된 지급결제시스템을 말한다.
홀로그램	은행권 위조방지를 위한 장치의 하나로 사진용 필름과 유사한 표면에 3차원 이미지를 기록하여 기울여 보면 문양 변화 효과를 확인할 수 있다.
화폐교환	화폐교환이란 고객의 요구에 따라 다른 종류의 화폐로 바꾸어 주거나 훼손 오염 또는 마모 등의 사유로 손상된 화폐를 사용할 수 있는 화폐로 바꾸어 주는 것을 말한다.
화폐발행/화폐발행액	화폐발행은 중앙은행인 한국은행의 독점적인 권한으로 금융시장에서 국공채 매입, 은행에 대출, 외환 매입, 금융기관의 예금 인출 요청 등의 형태로 화폐를 시중에 공급하는 것을 말한다.
화폐의 액면체계	화폐의 액면체계는 한 국가의 화폐를 구성하는 액면금액의 틀을 의미하는데, 보통 액면체계는 일상적인 거래 편의 도모라는 대원칙 아래 국가의 경제 사회적 여건과 국민의 화폐사용 습관의 영향을 받는다.
화폐환수	한국은행이 발행하여 시중에서 유통되는 화폐는 예금 또는 세금 납부 등으로 금융기관으로 입금되며, 금융기관은 입금된 화폐 중 일부를 고객의 예금인출에 대비하여 시재금으로 보유하고 나머지는 한국은행에 예금지급준비금과 결제자금 등으로 입금하는데, 이처럼 한국은행에서 발행된 화폐가 다시 한국은행으로 되돌아 들어오는 것을 화폐의 환수라 한다.
환경계정	환경계정이란 1993년 UN이 경제활동과 환경 간의 상호 관계를 체계적으로 분석하기 위하여 국민계정의 위성계정 형태로 새로 도입한 환경경제통합계정(SEEA; System of Integrated Environmental and Economic Accounts)을 말한다.
환경권	환경권(environmental rights)이란 모든 국민이 건강하고 쾌적한 환경 속에서 인간답게 살 수 있는 권리를 말한다.
환리스크	장래의 예상하지 못한 환율변동으로 인하여 보유한 외화표시 순자산(자산-부채) 또는 현금흐름의 가치가 변동될 수 있는 불확실성을 의미한다.
환리스크헤지	장래의 예상하지 못한 환율변동으로 인하여 기업 등이 보유하고 있는 외화표시 순자산(자산-부채)의 가치 또는 현금흐름의 순가치가 변동될 수 있는 불확실성을 제거하는 것을 의미한다.
환매조건부매매/RP/Repo	미래의 특정 시점에 특정 가격으로 동일한 증권을 반대방향으로 매수 및 매도할 것을 약정하고 이루어지는 증권의 매매거래를 말한다.
환어음	환어음은 발행인이 직접 어음금액을 지급하지 아니하고 제3자인 지급인에게 일정한 금액의 지급을 위탁하는 형식의 지급위탁증권이다.
환율조작국	1988년에 제정된 미국의 종합무역법에서 규정된 개념으로 동 법은 현저한 대미 무역흑자 및 상당한 경상수지 흑자를 보인 국가를 환율조작국으로 지정할 수 있다.
환전영업자(환전상)	환전영업자는 외국통화의 매입, 매도 또는 외국에서 발행한 여행자수표의 매입을 업으로 영위하는 자를 말한다.
환차손/환차익	환위험은 크게 회계적 환위험(또는 환산환위험)과 거래적 환위험으로 나누는데, 이 중에서도 회계적 환위험이란 해외지사 및 자회사의 재무제표를 모기업의 재무제표와 연결시키기 위해 자산과 부채의 가치를 동일한 통화로 환산하는 과정에서 발생하는 환위험을 말한다.
황금낙하산	적대적 기업인수합병(M&A)으로 인수대상 기업의 최고경영자가 사임하게 될 때를 대비, 사전에 이에 대한 충분한 보상을 보장하는 계약을 말한다.
회사채	회사채란 민간기업이 비교적 장기로 불특정 다수로부터 설비투자 자금 등 거액의 자금을 조달하기 위하여 정해진 이자와 원금의 지급을 약속하면서 발행하는 채권을 말한다.
회수의문	회수의문은 차주 채무상환능력이 현저히 악화되어 채권회수에 심각한 위험이 발생한 여신 및 3개월 이상 12개월 미만의 연체대출금 보유 차주의 여신 등의 회수예상가액 초과부분을 말한다.
후방연쇄효과	생산유발계수를 이용하여 각 산업 간의 상호의존관계의 정도를 전산업의 평균치를 기준으로 한 상대적 크기로 표시한 것이 영향력계수와 감응도계수이다.
후순위금융채	BIS 자기자본비율을 산정할 때 보완자본의 일종으로 분류되는 채권이다.
후행종합지수	개별 경제지표로는 파악하기 어려운 국민경제의 총체적인 경기수준을 파악하기 위하여 경기종합지수를 작성한다.
Beyond GDP	인간의 복지(well-being)와 후생, 사회적 발전을 제대로 반영한 측정지표를 의미한다.
BIS 자기자본비율	1988년 6월 바젤은행감독위원회(BCBS)가 발표한 바젤자기자본협약(Basel Capital Accord)에 따른 자본규제(바젤Ⅰ) 비율을 의미한다.
CAMEL-R시스템/ROCA시스템/CACREL시스템	은행의 경영실태평가방식으로는 CAMEL-R, ROCA 및 CACREL 시스템이 있는데, 일반은행 본점 및 현지법인에 대해서는 CAMEL-R시스템, 외은지점 및 국내은행 국외지점에 대해서는 ROCA시스템, 특수은행에 대해서는 CACREL시스템에 의해 평가한다.
CLS은행	CLS은행은 외환결제리스크 감축에 관한 국제결제은행(BIS)의 권고에 따라 1999 년 주요 국제 상업은행들이 세계 외환거래의 동시결제를 구현할 목적으로 설립한 국제외환결제전문은행이다.
CMO	CMO(Collateralized Mortgage Obligation)는 미국에서 발행되는 주택담보대출 증권의 일종으로서 pass-through 및 모기지를 기초자산으로 하여 투자자의 다양한 선호에 부합되도록 기초자산으로부터 유입되는 현금흐름이 만기, 이자율 및 조기상환 민감도가 상이한 몇 개의 tranche로 나누어 구조화한 상품이다.
DebtRank	특정 금융업권(은행)의 부도 충격이 거래상대방과의 상호거래 익스포저를 통해 순차적으로 확산되어 나타나는 손실 합계가 전체 금융(은행)부문 운용 자산에서 차지하는 비중(Battiston et al,. 2012)으로, 이 값이 클수록 부도충격의 전염도가 높아짐을 의미한다.
EC방식	중앙은행은 통화정책수단을 사용하여 금리나 통화량에 영향을 미치고 나아가 물가안정, 금융안정 등을 달성함으로써 경제가 지속 가능한 성장을 이룰 수 있도록 한다.
FTSE 지수	영국의 FTSE 인터내셔널사가 작성, 발표하는 세계 주가지수를 말하며 ‘FT 지수’라고도 한다.
G2(Group of Two)	세계에서 경제적으로 영향력이 큰 두 국가라는 의미로서 미국과 중국을 가리키는 비공식적인 용어이다.
G20(Group of 20)	G7에 속하는 7개국, 신흥시장국 12개국 및 유럽연합을 포함한 20개국의 국제회의체이다.
G7(Group of Seven)	미국, 일본, 영국, 프랑스, 독일, 이탈리아, 캐나다 등 7개 선진국의 모임을 지칭한다.
